,Type,Onset,Duration
464,Mic1,464.445,0.028
465,Mic1,465.445,0.02875
466,Mic1,466.445,0.02775
467,Mic1,467.445,0.0285
468,Mic1,468.445,0.0285
469,Mic1,469.445,0.0285
470,Mic1,470.445,0.02775
471,Mic1,471.445,0.02775
472,Mic1,472.445,0.0285
473,Mic1,473.445,0.0285
474,Mic1,474.445,0.0285
475,Mic1,475.445,0.02775
476,Mic1,476.445,0.02775
477,Mic1,477.445,0.02775
478,Mic1,478.445,0.02775
479,Mic1,479.445,0.02775
480,Mic1,480.445,0.0285
481,Mic1,481.445,0.0285
482,Mic1,482.445,0.02775
483,Mic1,483.445,0.0285
484,Mic1,484.445,0.0285
485,Mic1,485.445,0.0285
486,Mic1,486.445,0.0285
487,Mic1,487.44475,0.028
488,Mic1,488.445,0.0285
489,Mic1,489.44475,0.02875
490,Mic1,490.44475,0.02875
491,Mic1,491.44475,0.02875
492,Mic1,492.44475,0.02775
493,Mic1,493.44475,0.02875
494,Mic1,494.44475,0.0285
495,Mic1,495.44475,0.0285
496,Mic1,496.44475,0.0285
497,Mic1,497.44475,0.0285
498,Mic1,498.44475,0.02775
499,Mic1,499.44475,0.0285
500,Mic1,500.44475,0.0285
501,Mic1,501.44475,0.0285
502,Mic1,502.44475,0.02775
503,Mic1,503.44475,0.0285
504,Mic1,504.44475,0.0285
505,Mic1,505.44475,0.0285
506,Mic1,506.44475,0.02775
507,Mic1,507.44475,0.0285
508,Mic1,508.44475,0.0285
509,Mic1,509.44475,0.0285
510,Mic1,510.44475,0.02775
511,Mic1,511.44475,0.0285
512,Mic1,512.44475,0.02775
513,Mic1,513.4445,0.0285
514,Mic1,514.4445,0.028
515,Mic1,515.4445,0.028
516,Mic1,516.4445,0.02875
517,Mic1,517.4445,0.0285
518,Mic1,518.4445,0.02875
519,Mic1,519.4445,0.02875
520,Mic1,520.4445,0.0285
521,Mic1,521.4445,0.02775
522,Mic1,522.4445,0.0285
523,Mic1,523.4445,0.0285
524,Mic1,524.4445,0.02775
525,Mic1,525.4445,0.02775
526,Mic1,526.4445,0.0285
527,Mic1,527.4445,0.02775
528,Mic1,528.4445,0.0285
529,Mic1,529.4445,0.0285
530,Mic1,530.4445,0.0285
531,Mic1,531.4445,0.0285
532,Mic1,532.4445,0.0285
533,Mic1,533.4445,0.0285
534,Mic1,534.4445,0.0285
535,Mic1,535.4445,0.0285
536,Mic1,536.4445,0.0285
537,Mic1,537.4445,0.0285
538,Mic1,538.4445,0.0285
539,Mic1,539.4445,0.0285
540,Mic1,540.4445,0.0285
541,Mic1,541.44425,0.028
542,Mic1,542.44425,0.02875
